"date","close","volume","open","high","low"

"2016/11/18","46.2600","7791543.0000","46.1500","46.4900","45.6200"
"2016/11/17","45.8300","8558671.0000","44.3900","45.8500","44.0500"
"2016/11/16","44.4500","6166627.0000","44.6600","44.7950","43.9300"
"2016/11/15","44.7600","13124220.0000","45.0000","45.2800","43.5900"
"2016/11/14","43.4000","7744247.0000","43.0100","43.6100","42.9800"
"2016/11/11","42.9300","6616119.0000","42.0700","42.9500","41.6800"
"2016/11/10","42.3000","8656499.0000","42.7100","43.3900","42.1500"
"2016/11/09","42.4100","8392383.0000","40.7600","42.7500","40.4400"
"2016/11/08","41.7000","5724232.0000","41.4200","41.8500","41.0200"
"2016/11/07","41.4900","8333221.0000","40.3900","41.6500","40.3100"
"2016/11/04","39.7400","6715083.0000","39.2700","40.2200","39.2400"
"2016/11/03","39.3800","6006541.0000","39.7800","40.2400","39.3000"
"2016/11/02","39.7100","5273705.0000","39.7200","40.2500","39.6200"
"2016/11/01","39.8000","9028613.0000","40.5100","40.8500","39.5650"
"2016/10/31","40.6000","5960476.0000","40.3100","40.8100","40.0800"
"2016/10/28","40.0600","6708240.0000","39.8500","40.5700","39.8000"
"2016/10/27","39.9100","6539370.0000","39.4500","40.1800","39.2600"
"2016/10/26","39.3200","10112310.0000","38.5700","40.2600","38.2100"
"2016/10/25","39.6900","6019976.0000","39.6600","40.4300","39.3600"
"2016/10/24","39.8300","6466282.0000","40.2500","40.5500","39.7700"
"2016/10/21","39.9000","9981485.0000","39.9700","40.2450","39.6500"
"2016/10/20","40.5900","14695670.0000","40.9300","40.9300","39.4148"
"2016/10/19","40.6300","12758610.0000","39.4800","40.8100","39.4000"
"2016/10/18","39.3500","10513350.0000","38.8400","39.8900","38.8400"
"2016/10/17","38.5800","5602040.0000","38.6600","39.7300","38.3700"
"2016/10/14","38.6500","8870753.0000","39.4500","39.9200","38.5850"
"2016/10/13","39.2400","14771290.0000","36.9500","39.5000","36.8010"
"2016/10/12","37.3800","7403885.0000","38.1200","38.3843","37.3600"
"2016/10/11","38.2000","10034720.0000","39.9900","39.9900","38.0600"
"2016/10/10","38.8900","6938366.0000","37.9500","38.9500","37.4700"
"2016/10/07","37.7300","5133169.0000","38.2500","38.4810","37.4000"
"2016/10/06","38.1700","5160327.0000","37.8300","38.2200","37.5700"
"2016/10/05","37.8700","4712808.0000","37.8200","38.1150","37.3100"
"2016/10/04","37.6300","9065386.0000","38.3900","38.7800","37.5500"
"2016/10/03","37.7000","8878814.0000","36.4600","37.7500","36.3300"
"2016/09/30","36.6100","7429330.0000","35.9800","36.9900","35.8601"
"2016/09/29","35.8200","6182688.0000","35.6500","36.6000","35.6000"
"2016/09/28","35.8400","6291072.0000","36.1000","36.8600","35.7750"
"2016/09/27","36.0000","5023987.0000","34.9800","36.1250","34.9000"
"2016/09/26","34.9300","7353064.0000","35.1900","35.5456","34.8600"
"2016/09/23","35.5500","4602475.0000","35.3000","35.6700","34.9600"
"2016/09/22","35.2500","7438708.0000","34.9600","36.0300","34.8500"
"2016/09/21","34.6700","10407420.0000","35.0000","35.1500","33.9000"
"2016/09/20","35.1500","6666008.0000","35.7500","35.8600","35.1300"
"2016/09/19","35.4400","5422149.0000","35.6600","36.1100","35.3500"
"2016/09/16","35.4900","10722490.0000","36.2600","36.3600","35.4700"
"2016/09/15","36.4100","7805225.0000","36.3100","36.6300","35.8500"
"2016/09/14","36.3900","8082494.0000","37.0000","37.2000","36.2500"
"2016/09/13","37.3700","9320053.0000","38.1200","38.3100","37.2200"
"2016/09/12","38.3400","11959740.0000","37.2200","38.3800","36.6200"
"2016/09/09","38.4900","8618781.0000","39.0000","39.3400","38.1700"
"2016/09/08","39.3500","7101022.0000","38.6800","39.4100","38.4300"
"2016/09/07","38.7500","13773510.0000","37.5000","39.5200","37.4200"
"2016/09/06","36.9600","5501092.0000","36.4500","36.9700","36.3600"
"2016/09/02","36.5300","5427715.0000","36.0000","36.7000","36.0000"
"2016/09/01","36.2400","6940639.0000","36.5300","36.7100","35.8800"
"2016/08/31","36.3000","13111740.0000","36.9700","36.9800","35.6300"
