date,stock0,stock1,stock2,stock3,tweet0,tweet1,tweet2,tweet3
2015/12/24,37.28,37.39,37.25,37.24,0.36681501189187332,0.45063113920771131,0.44764404248519635,0.35701223023680151
2015/12/28,37.37,37.28,37.39,37.25,0.39346828982699977,0.36681501189187332,0.45063113920771131,0.44764404248519635
2015/12/29,37.6,37.37,37.28,37.39,0.46865450544349291,0.39346828982699977,0.36681501189187332,0.45063113920771131
2015/12/30,36.57,37.6,37.37,37.28,0.43122869977161521,0.46865450544349291,0.39346828982699977,0.36681501189187332
2015/12/31,36.01,36.57,37.6,37.37,0.40945278193866175,0.43122869977161521,0.46865450544349291,0.39346828982699977
2016/01/04,34.73,36.01,36.57,37.6,0.27577193891954299,0.40945278193866175,0.43122869977161521,0.46865450544349291
2016/01/05,35.19,34.73,36.01,36.57,0.43177126701742152,0.27577193891954299,0.40945278193866175,0.43122869977161521
2016/01/06,35.03,35.19,34.73,36.01,0.50780123461119164,0.43177126701742152,0.27577193891954299,0.40945278193866175
2016/01/07,33.4,35.03,35.19,34.73,0.46020357809809287,0.50780123461119164,0.43177126701742152,0.27577193891954299
2016/01/08,32.87,33.4,35.03,35.19,0.3615327349204624,0.46020357809809287,0.50780123461119164,0.43177126701742152
2016/01/11,32.26,32.87,33.4,35.03,0.31823764749518535,0.3615327349204624,0.46020357809809287,0.50780123461119164
2016/01/12,31.63,32.26,32.87,33.4,0.34114788596308243,0.31823764749518535,0.3615327349204624,0.46020357809809287
2016/01/13,30.42,31.63,32.26,32.87,0.48206374138641855,0.34114788596308243,0.31823764749518535,0.3615327349204624
2016/01/14,29.7,30.42,31.63,32.26,0.43533011721866766,0.48206374138641855,0.34114788596308243,0.31823764749518535
2016/01/15,28.41,29.7,30.42,31.63,0.40610801658317303,0.43533011721866766,0.48206374138641855,0.34114788596308243
2016/01/19,29.56,28.41,29.7,30.42,0.45919952185077628,0.40610801658317303,0.43533011721866766,0.48206374138641855
2016/01/20,30.09,29.56,28.41,29.7,0.42816589636349095,0.45919952185077628,0.40610801658317303,0.43533011721866766
2016/01/21,30.32,30.09,29.56,28.41,0.41587203724945626,0.42816589636349095,0.45919952185077628,0.40610801658317303
2016/01/22,31.14,30.32,30.09,29.56,0.33828509301871207,0.41587203724945626,0.42816589636349095,0.45919952185077628
2016/01/25,30.83,31.14,30.32,30.09,0.41791994316225478,0.33828509301871207,0.41587203724945626,0.42816589636349095
2016/01/26,31.35,30.83,31.14,30.32,0.45601201853165363,0.41791994316225478,0.33828509301871207,0.41587203724945626
2016/01/27,31.63,31.35,30.83,31.14,0.47169254759462548,0.45601201853165363,0.41791994316225478,0.33828509301871207
2016/01/28,30.09,31.63,31.35,30.83,0.4147507446730227,0.47169254759462548,0.45601201853165363,0.41791994316225478
2016/01/29,30.85,30.09,31.63,31.35,0.37664878948783731,0.4147507446730227,0.47169254759462548,0.45601201853165363
2016/02/01,31.32,30.85,30.09,31.63,0.4108343758272231,0.37664878948783731,0.4147507446730227,0.47169254759462548
2016/02/02,30.53,31.32,30.85,30.09,0.37916803823041106,0.4108343758272231,0.37664878948783731,0.4147507446730227
2016/02/03,30.68,30.53,31.32,30.85,0.46812324273283779,0.37916803823041106,0.4108343758272231,0.37664878948783731
2016/02/04,31.51,30.68,30.53,31.32,0.42654447999098338,0.46812324273283779,0.37916803823041106,0.4108343758272231
2016/02/05,29.46,31.51,30.68,30.53,0.37994945689916054,0.42654447999098338,0.46812324273283779,0.37916803823041106
2016/02/08,27.9,29.46,31.51,30.68,0.4690600850514588,0.37994945689916054,0.42654447999098338,0.46812324273283779
2016/02/09,27.6,27.9,29.46,31.51,0.49207328055112509,0.4690600850514588,0.37994945689916054,0.42654447999098338
2016/02/10,27.68,27.6,27.9,29.46,0.34243224309354864,0.49207328055112509,0.4690600850514588,0.37994945689916054
2016/02/11,27.27,27.68,27.6,27.9,0.43692144736381017,0.34243224309354864,0.49207328055112509,0.4690600850514588
2016/02/12,27.87,27.27,27.68,27.6,0.44082126246857262,0.43692144736381017,0.34243224309354864,0.49207328055112509
2016/02/16,29.29,27.87,27.27,27.68,0.44601916866921848,0.44082126246857262,0.43692144736381017,0.34243224309354864
2016/02/17,29.88,29.29,27.87,27.27,0.44383599846175675,0.44601916866921848,0.44082126246857262,0.43692144736381017
2016/02/18,30.53,29.88,29.29,27.87,0.41996607189095853,0.44383599846175675,0.44601916866921848,0.44082126246857262
2016/02/19,30.78,30.53,29.88,29.29,0.4941588491984012,0.41996607189095853,0.44383599846175675,0.44601916866921848
2016/02/22,31.02,30.78,30.53,29.88,0.40785529040654328,0.4941588491984012,0.41996607189095853,0.44383599846175675
2016/02/23,30.92,31.02,30.78,30.53,0.54274239000987168,0.40785529040654328,0.4941588491984012,0.41996607189095853
2016/02/24,30.91,30.92,31.02,30.78,0.45646452014136352,0.54274239000987168,0.40785529040654328,0.4941588491984012
2016/02/25,31.09,30.91,30.92,31.02,0.37533379216829388,0.45646452014136352,0.54274239000987168,0.40785529040654328
2016/02/26,30.92,31.09,30.91,30.92,0.42799766957987512,0.37533379216829388,0.45646452014136352,0.54274239000987168
2016/02/29,31.19,30.92,31.09,30.91,0.51526163502780187,0.42799766957987512,0.37533379216829388,0.45646452014136352
2016/03/01,31.15,31.19,30.92,31.09,0.27721529008634249,0.51526163502780187,0.42799766957987512,0.37533379216829388
2016/03/02,30.21,31.15,31.19,30.92,0.42917347965043773,0.27721529008634249,0.51526163502780187,0.42799766957987512
