data,stock0,stock1,stock2,stock3,tweet0,tweet1,tweet2,tweet3
2015/12/23,51.74,51.75,51.46,49.96,0.41202479849932927,0.46303918931708593,0.41699226022285302,0.44913579337504694
2015/12/24,52.26,51.74,51.75,51.46,0.46524589268320704,0.41202479849932927,0.46303918931708593,0.41699226022285302
2015/12/28,51.95,52.26,51.74,51.75,0.38650251526234897,0.46524589268320704,0.41202479849932927,0.46303918931708593
2015/12/29,52.17,51.95,52.26,51.74,0.35207360936834403,0.38650251526234897,0.46524589268320704,0.41202479849932927
2015/12/30,51.17,52.17,51.95,52.26,0.38649871195806867,0.35207360936834403,0.38650251526234897,0.46524589268320704
2015/12/31,50.69,51.17,52.17,51.95,0.41712477892771183,0.38649871195806867,0.35207360936834403,0.38650251526234897
2016/01/04,48.66,50.69,51.17,52.17,0.37079217536324172,0.41712477892771183,0.38649871195806867,0.35207360936834403
2016/01/05,48.57,48.66,50.69,51.17,0.38106981109465671,0.37079217536324172,0.41712477892771183,0.38649871195806867
2016/01/06,48.93,48.57,48.66,50.69,0.48500276078218396,0.38106981109465671,0.37079217536324172,0.41712477892771183
2016/01/07,47.0,48.93,48.57,48.66,0.46570147799197747,0.48500276078218396,0.38106981109465671,0.37079217536324172
2016/01/08,46.61,47.0,48.93,48.57,0.43027177093933128,0.46570147799197747,0.48500276078218396,0.38106981109465671
2016/01/11,46.74,46.61,47.0,48.93,0.44080517024611399,0.43027177093933128,0.46570147799197747,0.48500276078218396
2016/01/12,46.96,46.74,46.61,47.0,0.4702922422125993,0.44080517024611399,0.43027177093933128,0.46570147799197747
2016/01/13,44.94,46.96,46.74,46.61,0.41961733730981726,0.4702922422125993,0.44080517024611399,0.43027177093933128
2016/01/14,45.34,44.94,46.96,46.74,0.3568093123575124,0.41961733730981726,0.4702922422125993,0.44080517024611399
2016/01/15,44.5,45.34,44.94,46.96,0.44485077330482459,0.3568093123575124,0.41961733730981726,0.4702922422125993
2016/01/19,45.96,44.5,45.34,44.94,0.41052199092450303,0.44485077330482459,0.3568093123575124,0.41961733730981726
2016/01/20,45.69,45.96,44.5,45.34,0.45967698752103792,0.41052199092450303,0.44485077330482459,0.3568093123575124
2016/01/21,46.52,45.69,45.96,44.5,0.46667313801376803,0.45967698752103792,0.41052199092450303,0.44485077330482459
2016/01/22,46.76,46.52,45.69,45.96,0.44897304613924022,0.46667313801376803,0.45967698752103792,0.41052199092450303
2016/01/25,45.94,46.76,46.52,45.69,0.42314229198568037,0.44897304613924022,0.46667313801376803,0.45967698752103792
2016/01/26,46.11,45.94,46.76,46.52,0.51953770840395974,0.42314229198568037,0.44897304613924022,0.46667313801376803
2016/01/27,44.72,46.11,45.94,46.76,0.48938398007552875,0.51953770840395974,0.42314229198568037,0.44897304613924022
2016/01/28,43.2,44.72,46.11,45.94,0.49363434473087731,0.48938398007552875,0.51953770840395974,0.42314229198568037
2016/01/29,44.29,43.2,44.72,46.11,0.43104325940130345,0.49363434473087731,0.48938398007552875,0.51953770840395974
2016/02/01,45.21,44.29,43.2,44.72,0.45002951529700164,0.43104325940130345,0.49363434473087731,0.48938398007552875
2016/02/02,43.61,45.21,44.29,43.2,0.41861555597149097,0.45002951529700164,0.43104325940130345,0.49363434473087731
2016/02/03,43.8,43.61,45.21,44.29,0.46873670418893837,0.41861555597149097,0.45002951529700164,0.43104325940130345
2016/02/04,44.04,43.8,43.61,45.21,0.4434385257483261,0.46873670418893837,0.41861555597149097,0.45002951529700164
2016/02/05,42.01,44.04,43.8,43.61,0.36166079906422449,0.4434385257483261,0.46873670418893837,0.41861555597149097
2016/02/08,40.77,42.01,44.04,43.8,0.38655616097294476,0.36166079906422449,0.4434385257483261,0.46873670418893837
2016/02/09,41.98,40.77,42.01,44.04,0.39876952625499268,0.38655616097294476,0.36166079906422449,0.4434385257483261
2016/02/10,43.27,41.98,40.77,42.01,0.43482746183911103,0.39876952625499268,0.38655616097294476,0.36166079906422449
2016/02/11,42.7,43.27,41.98,40.77,0.52361641460836572,0.43482746183911103,0.39876952625499268,0.38655616097294476
2016/02/12,42.99,42.7,43.27,41.98,0.47247644907440417,0.52361641460836572,0.43482746183911103,0.39876952625499268
2016/02/16,44.58,42.99,42.7,43.27,0.3592316178453458,0.47247644907440417,0.52361641460836572,0.43482746183911103
2016/02/17,46.1,44.58,42.99,42.7,0.374141184174692,0.3592316178453458,0.47247644907440417,0.52361641460836572
2016/02/18,46.46,46.1,44.58,42.99,0.44512906893256743,0.374141184174692,0.3592316178453458,0.47247644907440417
2016/02/19,46.72,46.46,46.1,44.58,0.43094735986298288,0.44512906893256743,0.374141184174692,0.3592316178453458
2016/02/22,48.82,46.72,46.46,46.1,0.44548361623004273,0.43094735986298288,0.44512906893256743,0.374141184174692
2016/02/23,48.95,48.82,46.72,46.46,0.53110549604767998,0.44548361623004273,0.43094735986298288,0.44512906893256743
2016/02/24,48.94,48.95,48.82,46.72,0.47849706384585511,0.53110549604767998,0.44548361623004273,0.43094735986298288
2016/02/25,49.2,48.94,48.95,48.82,0.55834799620017517,0.47849706384585511,0.53110549604767998,0.44548361623004273
2016/02/26,47.86,49.2,48.94,48.95,0.52948989403713975,0.55834799620017517,0.47849706384585511,0.53110549604767998
2016/02/29,48.24,47.86,49.2,48.94,0.487786443892267,0.52948989403713975,0.55834799620017517,0.47849706384585511
2016/03/01,48.9,48.24,47.86,49.2,0.4792588967343917,0.487786443892267,0.52948989403713975,0.55834799620017517
