data,stock0,stock1,stock2,stock3,tweet0,tweet1,tweet2,tweet3
2015/12/23,108.61,107.23,107.33,106.03,0.3729471757177738,0.40920195346748706,0.40763346833973418,0.50010098203337849
2015/12/24,108.03,108.61,107.23,107.33,0.42865398521435844,0.3729471757177738,0.40920195346748706,0.40763346833973418
2015/12/28,106.82,108.03,108.61,107.23,0.46757690536854313,0.42865398521435844,0.3729471757177738,0.40920195346748706
2015/12/29,108.74,106.82,108.03,108.61,0.42620057249157128,0.46757690536854313,0.42865398521435844,0.3729471757177738
2015/12/30,107.32,108.74,106.82,108.03,0.39203272316195614,0.42620057249157128,0.46757690536854313,0.42865398521435844
2015/12/31,105.26,107.32,108.74,106.82,0.43131666404293412,0.39203272316195614,0.42620057249157128,0.46757690536854313
2016/01/04,105.35,105.26,107.32,108.74,0.38095947870411057,0.43131666404293412,0.39203272316195614,0.42620057249157128
2016/01/05,102.71,105.35,105.26,107.32,0.47402633810713646,0.38095947870411057,0.43131666404293412,0.39203272316195614
2016/01/06,100.7,102.71,105.35,105.26,0.44601263146362519,0.47402633810713646,0.38095947870411057,0.43131666404293412
2016/01/07,96.45,100.7,102.71,105.35,0.45793638185946095,0.44601263146362519,0.47402633810713646,0.38095947870411057
2016/01/08,96.96,96.45,100.7,102.71,0.43797921551942703,0.45793638185946095,0.44601263146362519,0.47402633810713646
2016/01/11,98.53,96.96,96.45,100.7,0.47535359382156223,0.43797921551942703,0.45793638185946095,0.44601263146362519
2016/01/12,99.96,98.53,96.96,96.45,0.49035953791054077,0.47535359382156223,0.43797921551942703,0.45793638185946095
2016/01/13,97.39,99.96,98.53,96.96,0.4530635178645433,0.49035953791054077,0.47535359382156223,0.43797921551942703
2016/01/14,99.52,97.39,99.96,98.53,0.51454608816872371,0.4530635178645433,0.49035953791054077,0.47535359382156223
2016/01/15,97.13,99.52,97.39,99.96,0.4903218538502877,0.51454608816872371,0.4530635178645433,0.49035953791054077
2016/01/19,96.66,97.13,99.52,97.39,0.45021335523827416,0.4903218538502877,0.51454608816872371,0.4530635178645433
2016/01/20,96.79,96.66,97.13,99.52,0.48256844687951184,0.45021335523827416,0.4903218538502877,0.51454608816872371
2016/01/21,96.3,96.79,96.66,97.13,0.45804979453962374,0.48256844687951184,0.45021335523827416,0.4903218538502877
2016/01/22,101.42,96.3,96.79,96.66,0.50289737171481608,0.45804979453962374,0.48256844687951184,0.45021335523827416
2016/01/25,99.44,101.42,96.3,96.79,0.48042846467735617,0.50289737171481608,0.45804979453962374,0.48256844687951184
2016/01/26,99.99,99.44,101.42,96.3,0.52602022168795171,0.48042846467735617,0.50289737171481608,0.45804979453962374
2016/01/27,93.42,99.99,99.44,101.42,0.48093671650878583,0.52602022168795171,0.48042846467735617,0.50289737171481608
2016/01/28,94.09,93.42,99.99,99.44,0.42466911042424016,0.48093671650878583,0.52602022168795171,0.48042846467735617
2016/01/29,97.34,94.09,93.42,99.99,0.4916370782011622,0.42466911042424016,0.48093671650878583,0.52602022168795171
2016/02/01,96.43,97.34,94.09,93.42,0.48138016990357629,0.4916370782011622,0.42466911042424016,0.48093671650878583
2016/02/02,94.48,96.43,97.34,94.09,0.48920977234721236,0.48138016990357629,0.4916370782011622,0.42466911042424016
2016/02/03,96.35,94.48,96.43,97.34,0.50537005338595709,0.48920977234721236,0.48138016990357629,0.4916370782011622
2016/02/04,96.6,96.35,94.48,96.43,0.41591024008910188,0.50537005338595709,0.48920977234721236,0.48138016990357629
2016/02/05,94.02,96.6,96.35,94.48,0.48030391451206556,0.41591024008910188,0.50537005338595709,0.48920977234721236
2016/02/08,95.01,94.02,96.6,96.35,0.49296737530497581,0.48030391451206556,0.41591024008910188,0.50537005338595709
2016/02/09,94.99,95.01,94.02,96.6,0.46042533934561547,0.49296737530497581,0.48030391451206556,0.41591024008910188
2016/02/10,94.27,94.99,95.01,94.02,0.40505350843260562,0.46042533934561547,0.49296737530497581,0.48030391451206556
2016/02/11,93.7,94.27,94.99,95.01,0.35184424000953035,0.40505350843260562,0.46042533934561547,0.49296737530497581
2016/02/12,93.99,93.7,94.27,94.99,0.47641917952946816,0.35184424000953035,0.40505350843260562,0.46042533934561547
2016/02/16,96.64,93.99,93.7,94.27,0.45379617253373206,0.47641917952946816,0.35184424000953035,0.40505350843260562
2016/02/17,98.12,96.64,93.99,93.7,0.49153636255979799,0.45379617253373206,0.47641917952946816,0.35184424000953035
2016/02/18,96.26,98.12,96.64,93.99,0.4881549696813553,0.49153636255979799,0.45379617253373206,0.47641917952946816
2016/02/19,96.04,96.26,98.12,96.64,0.46222349049289835,0.4881549696813553,0.49153636255979799,0.45379617253373206
2016/02/22,96.88,96.04,96.26,98.12,0.42186627848504904,0.46222349049289835,0.4881549696813553,0.49153636255979799
2016/02/23,94.69,96.88,96.04,96.26,0.42761380341967142,0.42186627848504904,0.46222349049289835,0.4881549696813553
2016/02/24,96.1,94.69,96.88,96.04,0.45434655307440486,0.42761380341967142,0.42186627848504904,0.46222349049289835
2016/02/25,96.76,96.1,94.69,96.88,0.43317613866702404,0.45434655307440486,0.42761380341967142,0.42186627848504904
2016/02/26,96.91,96.76,96.1,94.69,0.44743032747928974,0.43317613866702404,0.45434655307440486,0.42761380341967142
2016/02/29,96.69,96.91,96.76,96.1,0.43244491324253953,0.44743032747928974,0.43317613866702404,0.45434655307440486
2016/03/01,100.53,96.69,96.91,96.76,0.4301594378396138,0.43244491324253953,0.44743032747928974,0.43317613866702404
