date,stock0,stock1,stock2,stock3,tweet0,tweet1,tweet2,tweet3
2015/12/24,59.78,58.35,58.0,58.05,0.35132650804425142,0.32725345028047714,0.35454646345343888,0.37762531601395982
2015/12/28,59.01,59.78,58.35,58.0,0.25311087232494367,0.35132650804425142,0.32725345028047714,0.35454646345343888
2015/12/29,59.3,59.01,59.78,58.35,0.26933040549723908,0.25311087232494367,0.35132650804425142,0.32725345028047714
2015/12/30,57.51,59.3,59.01,59.78,0.30179058800486641,0.26933040549723908,0.25311087232494367,0.35132650804425142
2015/12/31,57.3,57.51,59.3,59.01,0.32495461005590276,0.30179058800486641,0.26933040549723908,0.25311087232494367
2016/01/04,55.61,57.3,57.51,59.3,0.3447463407144496,0.32495461005590276,0.30179058800486641,0.26933040549723908
2016/01/05,55.06,55.61,57.3,57.51,0.35931471241145735,0.3447463407144496,0.32495461005590276,0.30179058800486641
2016/01/06,55.2,55.06,55.61,57.3,0.36911602928427939,0.35931471241145735,0.3447463407144496,0.32495461005590276
2016/01/07,52.63,55.2,55.06,55.61,0.31631381255117269,0.36911602928427939,0.35931471241145735,0.3447463407144496
2016/01/08,51.89,52.63,55.2,55.06,0.35062339618713606,0.31631381255117269,0.36911602928427939,0.35931471241145735
2016/01/11,51.62,51.89,52.63,55.2,0.36095898797317993,0.35062339618713606,0.31631381255117269,0.36911602928427939
2016/01/12,50.86,51.62,51.89,52.63,0.37152622264435131,0.36095898797317993,0.35062339618713606,0.31631381255117269
2016/01/13,48.06,50.86,51.62,51.89,0.38701625498250292,0.37152622264435131,0.36095898797317993,0.35062339618713606
2016/01/14,47.83,48.06,50.86,51.62,0.38613836424942299,0.38701625498250292,0.37152622264435131,0.36095898797317993
2016/01/15,45.67,47.83,48.06,50.86,0.36107375720007118,0.38613836424942299,0.38701625498250292,0.37152622264435131
2016/01/19,45.18,45.67,47.83,48.06,0.40207167276401401,0.36107375720007118,0.38613836424942299,0.38701625498250292
2016/01/20,45.12,45.18,45.67,47.83,0.41974315636826892,0.40207167276401401,0.36107375720007118,0.38613836424942299
2016/01/21,45.33,45.12,45.18,45.67,0.3696911261958355,0.41974315636826892,0.40207167276401401,0.36107375720007118
2016/01/22,46.72,45.33,45.12,45.18,0.36968982419418045,0.3696911261958355,0.41974315636826892,0.40207167276401401
2016/01/25,46.44,46.72,45.33,45.12,0.38701620298065292,0.36968982419418045,0.3696911261958355,0.41974315636826892
2016/01/26,47.23,46.44,46.72,45.33,0.35984837113743656,0.38701620298065292,0.36968982419418045,0.3696911261958355
2016/01/27,47.71,47.23,46.44,46.72,0.43183885050162979,0.35984837113743656,0.38701620298065292,0.36968982419418045
2016/01/28,46.11,47.71,47.23,46.44,0.36785625310609255,0.43183885050162979,0.35984837113743656,0.38701620298065292
2016/01/29,48.28,46.11,47.71,47.23,0.37656810144901454,0.36785625310609255,0.43183885050162979,0.35984837113743656
2016/02/01,48.86,48.28,46.11,47.71,0.42872036264465724,0.37656810144901454,0.36785625310609255,0.43183885050162979
2016/02/02,46.45,48.86,48.28,46.11,0.45802003324355772,0.42872036264465724,0.37656810144901454,0.36785625310609255
2016/02/03,47.57,46.45,48.86,48.28,0.40451750058108005,0.45802003324355772,0.42872036264465724,0.37656810144901454
2016/02/04,48.41,47.57,46.45,48.86,0.38933355151574578,0.40451750058108005,0.45802003324355772,0.42872036264465724
2016/02/05,46.86,48.41,47.57,46.45,0.362458245818506,0.38933355151574578,0.40451750058108005,0.45802003324355772
2016/02/08,45.68,46.86,48.41,47.57,0.41660299925051225,0.362458245818506,0.38933355151574578,0.40451750058108005
2016/02/09,46.48,45.68,46.86,48.41,0.4224646510624554,0.41660299925051225,0.362458245818506,0.38933355151574578
2016/02/10,47.71,46.48,45.68,46.86,0.39131571867423715,0.4224646510624554,0.41660299925051225,0.362458245818506
2016/02/11,46.98,47.71,46.48,45.68,0.37930018307750196,0.39131571867423715,0.4224646510624554,0.41660299925051225
2016/02/12,48.35,46.98,47.71,46.48,0.36686521647793008,0.37930018307750196,0.39131571867423715,0.4224646510624554
2016/02/16,48.87,48.35,46.98,47.71,0.31901911305402542,0.36686521647793008,0.37930018307750196,0.39131571867423715
2016/02/17,50.61,48.87,48.35,46.98,0.3819290944917228,0.31901911305402542,0.36686521647793008,0.37930018307750196
2016/02/18,51.94,50.61,48.87,48.35,0.3808847265366288,0.3819290944917228,0.31901911305402542,0.36686521647793008
2016/02/19,53.82,51.94,50.61,48.87,0.40707096059870829,0.3808847265366288,0.3819290944917228,0.31901911305402542
2016/02/22,55.49,53.82,51.94,50.61,0.39705510133423322,0.40707096059870829,0.3808847265366288,0.3819290944917228
2016/02/23,55.45,55.49,53.82,51.94,0.39530084043905106,0.39705510133423322,0.40707096059870829,0.3808847265366288
2016/02/24,56.26,55.45,55.49,53.82,0.33517886553642628,0.39530084043905106,0.39705510133423322,0.40707096059870829
2016/02/25,56.86,56.26,55.45,55.49,0.36269534305146284,0.33517886553642628,0.39530084043905106,0.39705510133423322
2016/02/26,56.58,56.86,56.26,55.45,0.41782780711814027,0.36269534305146284,0.33517886553642628,0.39530084043905106
2016/02/29,57.26,56.58,56.86,56.26,0.35072317583860435,0.41782780711814027,0.36269534305146284,0.33517886553642628
2016/03/01,58.4,57.26,56.58,56.86,0.3784654119596963,0.35072317583860435,0.41782780711814027,0.36269534305146284
2016/03/02,57.92,58.4,57.26,56.58,0.43374707667297729,0.3784654119596963,0.35072317583860435,0.41782780711814027
