date,stock0,stock1,stock2,stock3,tweet0,tweet1,tweet2,tweet3
2015/12/24,43.81,43.29,42.895,42.4,0.35132650804425142,0.32725345028047714,0.35454646345343888,0.37762531601395982
2015/12/28,43.23,43.81,43.29,42.895,0.25311087232494367,0.35132650804425142,0.32725345028047714,0.35454646345343888
2015/12/29,43.5,43.23,43.81,43.29,0.26933040549723908,0.25311087232494367,0.35132650804425142,0.32725345028047714
2015/12/30,42.8,43.5,43.23,43.81,0.30179058800486641,0.26933040549723908,0.25311087232494367,0.35132650804425142
2015/12/31,42.35,42.8,43.5,43.23,0.32495461005590276,0.30179058800486641,0.26933040549723908,0.25311087232494367
2016/01/04,40.91,42.35,42.8,43.5,0.3447463407144496,0.32495461005590276,0.30179058800486641,0.26933040549723908
2016/01/05,40.52,40.91,42.35,42.8,0.35931471241145735,0.3447463407144496,0.32495461005590276,0.30179058800486641
2016/01/06,41.23,40.52,40.91,42.35,0.36911602928427939,0.35931471241145735,0.3447463407144496,0.32495461005590276
2016/01/07,40.45,41.23,40.52,40.91,0.31631381255117269,0.36911602928427939,0.35931471241145735,0.3447463407144496
2016/01/08,40.37,40.45,41.23,40.52,0.35062339618713606,0.31631381255117269,0.36911602928427939,0.35931471241145735
2016/01/11,41.08,40.37,40.45,41.23,0.36095898797317993,0.35062339618713606,0.31631381255117269,0.36911602928427939
2016/01/12,42.0,41.08,40.37,40.45,0.37152622264435131,0.36095898797317993,0.35062339618713606,0.31631381255117269
2016/01/13,40.1,42.0,41.08,40.37,0.38701625498250292,0.37152622264435131,0.36095898797317993,0.35062339618713606
2016/01/14,40.55,40.1,42.0,41.08,0.38613836424942299,0.38701625498250292,0.37152622264435131,0.36095898797317993
2016/01/15,38.76,40.55,40.1,42.0,0.36107375720007118,0.38613836424942299,0.38701625498250292,0.37152622264435131
2016/01/19,38.86,38.76,40.55,40.1,0.40207167276401401,0.36107375720007118,0.38613836424942299,0.38701625498250292
2016/01/20,39.06,38.86,38.76,40.55,0.41974315636826892,0.40207167276401401,0.36107375720007118,0.38613836424942299
2016/01/21,39.79,39.06,38.86,38.76,0.3696911261958355,0.41974315636826892,0.40207167276401401,0.36107375720007118
2016/01/22,40.16,39.79,39.06,38.86,0.36968982419418045,0.3696911261958355,0.41974315636826892,0.40207167276401401
2016/01/25,38.88,40.16,39.79,39.06,0.38701620298065292,0.36968982419418045,0.3696911261958355,0.41974315636826892
2016/01/26,39.64,38.88,40.16,39.79,0.35984837113743656,0.38701620298065292,0.36968982419418045,0.3696911261958355
2016/01/27,39.69,39.64,38.88,40.16,0.43183885050162979,0.35984837113743656,0.38701620298065292,0.36968982419418045
2016/01/28,38.14,39.69,39.64,38.88,0.36785625310609255,0.43183885050162979,0.35984837113743656,0.38701620298065292
2016/01/29,38.99,38.14,39.69,39.64,0.37656810144901454,0.36785625310609255,0.43183885050162979,0.35984837113743656
2016/02/01,39.38,38.99,38.14,39.69,0.42872036264465724,0.37656810144901454,0.36785625310609255,0.43183885050162979
2016/02/02,37.03,39.38,38.99,38.14,0.45802003324355772,0.42872036264465724,0.37656810144901454,0.36785625310609255
2016/02/03,37.51,37.03,39.38,38.99,0.40451750058108005,0.45802003324355772,0.42872036264465724,0.37656810144901454
2016/02/04,38.21,37.51,37.03,39.38,0.38933355151574578,0.40451750058108005,0.45802003324355772,0.42872036264465724
2016/02/05,36.75,38.21,37.51,37.03,0.362458245818506,0.38933355151574578,0.40451750058108005,0.45802003324355772
2016/02/08,35.55,36.75,38.21,37.51,0.41660299925051225,0.362458245818506,0.38933355151574578,0.40451750058108005
2016/02/09,36.19,35.55,36.75,38.21,0.4224646510624554,0.41660299925051225,0.362458245818506,0.38933355151574578
2016/02/10,37.12,36.19,35.55,36.75,0.39131571867423715,0.4224646510624554,0.41660299925051225,0.362458245818506
2016/02/11,36.49,37.12,36.19,35.55,0.37930018307750196,0.39131571867423715,0.4224646510624554,0.41660299925051225
2016/02/12,37.82,36.49,37.12,36.19,0.36686521647793008,0.37930018307750196,0.39131571867423715,0.4224646510624554
2016/02/16,38.61,37.82,36.49,37.12,0.31901911305402542,0.36686521647793008,0.37930018307750196,0.39131571867423715
2016/02/17,39.34,38.61,37.82,36.49,0.3819290944917228,0.31901911305402542,0.36686521647793008,0.37930018307750196
2016/02/18,39.54,39.34,38.61,37.82,0.3808847265366288,0.3819290944917228,0.31901911305402542,0.36686521647793008
2016/02/19,39.76,39.54,39.34,38.61,0.40707096059870829,0.3808847265366288,0.3819290944917228,0.31901911305402542
2016/02/22,40.84,39.76,39.54,39.34,0.39705510133423322,0.40707096059870829,0.3808847265366288,0.3819290944917228
2016/02/23,40.38,40.84,39.76,39.54,0.39530084043905106,0.39705510133423322,0.40707096059870829,0.3808847265366288
2016/02/24,40.66,40.38,40.84,39.76,0.33517886553642628,0.39530084043905106,0.39705510133423322,0.40707096059870829
2016/02/25,41.36,40.66,40.38,40.84,0.36269534305146284,0.33517886553642628,0.39530084043905106,0.39705510133423322
2016/02/26,40.87,41.36,40.66,40.38,0.41782780711814027,0.36269534305146284,0.33517886553642628,0.39530084043905106
2016/02/29,41.0,40.87,41.36,40.66,0.35072317583860435,0.41782780711814027,0.36269534305146284,0.33517886553642628
2016/03/01,41.83,41.0,40.87,41.36,0.3784654119596963,0.35072317583860435,0.41782780711814027,0.36269534305146284
2016/03/02,41.59,41.83,41.0,40.87,0.43374707667297729,0.3784654119596963,0.35072317583860435,0.41782780711814027
